method,name,data,split,map50_95,map50,map75,precision,recall,class_names,class_map50_95,class_map50,class_precision,class_recall,imgsz,batch,confidence_floor,nms_iou,seed,ultralytics_version,resize_policy,ap_implementation
raw,ivcnz_motion,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\pothole_yolo_sequence_disjoint_practical_sensor_calibrated_v2_motion_test\data.yaml,test,0.057773534056113476,0.15919337507417347,0.023582449589676712,0.3228099889166534,0.21128608923884515,"[""pothole""]",[0.057773534056113476],[0.15919337507417347],[0.3228099889166534],[0.21128608923884515],640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
raw,ivcnz_defocus,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\pothole_yolo_sequence_disjoint_practical_sensor_calibrated_v2_defocus_test\data.yaml,test,0.04649237755571627,0.12218588028829677,0.018372676727326693,0.302624336245836,0.16929133858267717,"[""pothole""]",[0.04649237755571627],[0.12218588028829677],[0.302624336245836],[0.16929133858267717],640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
raw,ivcnz_lowlight,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\pothole_yolo_sequence_disjoint_practical_sensor_calibrated_v2_lowlight_test\data.yaml,test,0.13713523574892467,0.3540240576151651,0.06535109141213824,0.4988039260834174,0.3320209973753281,"[""pothole""]",[0.13713523574892467],[0.3540240576151651],[0.4988039260834174],[0.3320209973753281],640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
raw,ivcnz_mixed,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\pothole_yolo_sequence_disjoint_practical_sensor_calibrated_v2_mixed_test\data.yaml,test,0.0695411080735588,0.18408222353254106,0.03682559959776511,0.36523454125537447,0.2125984251968504,"[""pothole""]",[0.0695411080735588],[0.18408222353254106],[0.36523454125537447],[0.2125984251968504],640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
raw,pcm_motion,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\road_damage_pcm_yolo_sequence_disjoint_practical_sensor_calibrated_v2_motion_test\data.yaml,test,0.05470293148276752,0.131641428461026,0.017698431874575496,0.20844147667432936,0.20515990693855365,"[""pothole"", ""crack"", ""manhole""]","[0.023251107347937176, 0.0012228884178603393, 0.13963479868250503]","[0.06270256429756851, 0.006833963154768362, 0.32538775793074115]","[0.23747369281905376, 0.10215193928451596, 0.2856987979194183]","[0.07960199004975124, 0.022364217252396165, 0.5135135135135135]",640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
raw,pcm_defocus,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\road_damage_pcm_yolo_sequence_disjoint_practical_sensor_calibrated_v2_defocus_test\data.yaml,test,0.04821829728800213,0.12287238511233052,0.03188614120042515,0.2502075732483667,0.13319007816170567,"[""pothole"", ""crack"", ""manhole""]","[0.029336395773086044, 0.003233248522385408, 0.11208524756853495]","[0.081459671702539, 0.01824305846095672, 0.26891442517349584]","[0.20727492600783137, 0.08960760573495656, 0.4537401880023122]","[0.12437810945273632, 0.03194888178913738, 0.24324324324324326]",640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
raw,pcm_lowlight,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\road_damage_pcm_yolo_sequence_disjoint_practical_sensor_calibrated_v2_lowlight_test\data.yaml,test,0.10494580960048853,0.22055231991496757,0.08429381197833712,0.2841273814542644,0.26767946240074414,"[""pothole"", ""crack"", ""manhole""]","[0.031003393503112688, 0.030785291752152028, 0.25304874354620094]","[0.08435629292639191, 0.10088167747574621, 0.4764189893427646]","[0.27077466854555204, 0.2694994557031747, 0.3121080201140665]","[0.0845771144278607, 0.13738019169329074, 0.581081081081081]",640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
raw,pcm_mixed,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\road_damage_pcm_yolo_sequence_disjoint_practical_sensor_calibrated_v2_mixed_test\data.yaml,test,0.02243751457327141,0.04266181783887684,0.014135118771716032,0.07757859439843971,0.10536422169153083,"[""pothole"", ""crack"", ""manhole""]","[0.007948030979237084, 0.0011188028415116318, 0.05824570989906551]","[0.020058648524776214, 0.003830024663052895, 0.10409678032880142]","[0.10088371937371372, 0.03731681217861721, 0.09453525164298823]","[0.04975124378109453, 0.009584664536741214, 0.25675675675675674]",640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
nafnet,ivcnz_motion,E:\TRACE_R_experiments\trace_locked_confirmatory_v65_20260828\restored\nafnet\ivcnz\motion\data.yaml,test,0.059782119571610046,0.16498635694989647,0.02406976076401338,0.3269589850758282,0.21994651445120295,"[""pothole""]",[0.059782119571610046],[0.16498635694989647],[0.3269589850758282],[0.21994651445120295],640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
nafnet,ivcnz_defocus,E:\TRACE_R_experiments\trace_locked_confirmatory_v65_20260828\restored\nafnet\ivcnz\defocus\data.yaml,test,0.04882290678901991,0.12580398902685846,0.021128550613300892,0.30849422687916567,0.17454068241469817,"[""pothole""]",[0.04882290678901991],[0.12580398902685846],[0.30849422687916567],[0.17454068241469817],640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
